technology,cellwidth,action,power(W),frequency,energy,area,comment
sonos,2,read,0.00E+00,1.20E+09,0.00E+00,0,"energy in pJ;  area in mm^2, power"
sonos,2,write,3.49E-12,1.20E+09,0.00E+00,0,
sonos,2,idle,2.46E-11,1.20E+09,0.00E+00,0,
sonos,1,read,0.00E+00,1.20E+09,0.00E+00,0,
sonos,1,write,3.49E-12,1.20E+09,0.00E+00,0,
sonos,1,idle,0.00E+00,1.20E+09,0.00E+00,0,
