,filename,problem,utilization,cycles,energy_pJ,energy_per_mac,macs
0,vgg_layer9,"[512, 512, 3, 3, 1, 28, 28]",0.13073929961089495,21504,8703382149468.159,4705.324275406126,1849688064
1,vgg_layer5,"[128, 256, 3, 3, 1, 56, 56]",0.004669260700389105,301056,4350762779775.9995,4704.320544046069,924844032
2,vgg_layer16,"[4096, 1000, 1, 1, 1, 1, 1]",0.038910505836575876,160,19264905546.752,4703.34608075,4096000
3,vgg_layer3,"[64, 128, 3, 3, 1, 112, 112]",0.03268482490272374,43008,4357365044838.3994,4711.4593315972215,924844032
4,vgg_layer10,"[512, 512, 3, 3, 1, 28, 28]",0.13073929961089495,21504,8703382149468.159,4705.324275406126,1849688064
5,vgg_layer7,"[256, 256, 3, 3, 1, 56, 56]",0.02801556420233463,100352,8701182561827.839,4704.135108603825,1849688064
6,vgg_layer13,"[512, 512, 3, 3, 1, 14, 14]",0.00933852140077821,75264,2176788012851.1997,4707.362403893849,462422016
7,vgg_layer1,"[3, 64, 3, 3, 1, 224, 224]",0.14708171206225681,896,408655092708.48,4713.213801175418,86704128
8,vgg_layer2,"[64, 64, 3, 3, 1, 224, 224]",0.05603112840466926,50176,8706635536793.6,4707.083159722222,1849688064
9,vgg_layer11,"[512, 512, 3, 3, 1, 14, 14]",0.00933852140077821,75264,2176788012851.1997,4707.362403893849,462422016
10,vgg_layer12,"[512, 512, 3, 3, 1, 14, 14]",0.00933852140077821,75264,2176788012851.1997,4707.362403893849,462422016
11,vgg_layer4,"[128, 128, 3, 3, 1, 112, 112]",0.11206225680933853,25088,8703266551239.68,4705.261779339503,1849688064
12,vgg_layer6,"[256, 256, 3, 3, 1, 56, 56]",0.02801556420233463,100352,8701182561827.839,4704.135108603825,1849688064
13,vgg_layer15,"[4096, 4096, 1, 1, 1, 1, 1]",0.09961089494163425,256,78889128099.84,4702.15845703125,16777216
14,vgg_layer8,"[256, 512, 3, 3, 1, 28, 28]",0.13073929961089495,10752,4350527929753.5996,4704.066609312996,924844032
15,vgg_layer14,"[25088, 4096, 1, 1, 1, 1, 1]",0.012451361867704281,12544,483371687528.448,4703.869017079879,102760448
