,filename,problem,utilization,cycles,energy_pJ,energy_per_mac,macs
0,vgg_layer1,"[3, 64, 3, 3, 1, 224, 224]",0.002626459143968872,50176,2886149830.6588345,33.2873404903955,86704128
1,vgg_layer2,"[64, 64, 3, 3, 1, 224, 224]",0.05603112840466926,50176,965294633437.381,521.8688773662223,1849688064
2,vgg_layer3,"[64, 128, 3, 3, 1, 112, 112]",0.03268482490272374,43008,254101714999.1897,274.7508836162222,924844032
3,vgg_layer4,"[128, 128, 3, 3, 1, 112, 112]",0.0011673151750972762,2408448,265402230026.0274,143.4848584426111,1849688064
4,vgg_layer5,"[128, 256, 3, 3, 1, 56, 56]",0.0023346303501945525,602112,946727264880.9432,1023.6615387284494,924844032
5,vgg_layer6,"[256, 256, 3, 3, 1, 56, 56]",0.02801556420233463,100352,561111039660.229,303.3544144988487,1849688064
6,vgg_layer7,"[256, 256, 3, 3, 1, 56, 56]",0.02801556420233463,100352,561111039660.229,303.3544144988487,1849688064
7,vgg_layer8,"[256, 512, 3, 3, 1, 28, 28]",0.07470817120622568,18816,148974986404.9625,161.08119991086508,924844032
8,vgg_layer9,"[512, 512, 3, 3, 1, 28, 28]",0.13073929961089495,21504,297490205236.2162,160.8326349865099,1849688064
9,vgg_layer10,"[512, 512, 3, 3, 1, 28, 28]",0.13073929961089495,21504,297490205236.2162,160.8326349865099,1849688064
10,vgg_layer11,"[512, 512, 3, 3, 1, 14, 14]",0.004669260700389105,150528,43174377943.60125,93.36574914201587,462422016
11,vgg_layer12,"[512, 512, 3, 3, 1, 14, 14]",0.004669260700389105,150528,43174377943.60125,93.36574914201587,462422016
12,vgg_layer13,"[512, 512, 3, 3, 1, 14, 14]",0.004669260700389105,150528,43174377943.60125,93.36574914201587,462422016
13,vgg_layer14,"[25088, 4096, 1, 1, 1, 1, 1]",0.012451361867704281,12544,205902475945.79013,2003.7132958566913,102760448
14,vgg_layer15,"[4096, 4096, 1, 1, 1, 1, 1]",0.09961089494163425,256,33588031580.855602,2002.0026910815002,16777216
15,vgg_layer16,"[4096, 1000, 1, 1, 1, 1, 1]",0.038910505836575876,160,8205067522.228224,2003.190313044,4096000
